#	L*	a*	b*	H1	H2	V	C
98	51.000	31.000	52.000	4.6	YR	5.0	10.0
99	43.068	22.615	34.344	4.9	YR	4.2	6.7
100	78.333	20.813	91.827	0.2	Y	7.7	14.5
101	88.403	-1.643	32.254	5.3	Y	8.8	4.2
102	79.027	2.011	47.776	3.3	Y	7.8	6.6
103	70.582	17.470	43.746	7.9	YR	6.9	7.6
104	63.442	-10.026	10.787	8.5	GY	6.2	2.2
105	38.951	-9.853	5.673	1.9	G	3.8	2.1
106	32.017	23.334	-16.833	8.0	P	3.2	5.9
107	51.396	38.094	-29.509	7.1	P	5.1	11.6
108	39.069	30.386	-7.583	3.7	RP	3.8	6.9
109	40.077	39.944	-41.513	4.2	P	4.0	13.4
