Unique #,Label,L,a,b,Rounded Lab,Munsell,H1,H2,V,C
nan,adam blue,71.00,-7.00,-5.00,L71 A-7 B-5,['2.5B 7/2'],10.0,BG,7,2
nan,ADAM CREAM,96.89,0.52,24.71,L96 A0 B24,['10YR 9/4'],4.5,Y,10,5
nan,ADAM GOLD,64.53,4.69,49.43,L64 A4 B49,['2.5Y 6/8'],3.5,Y,6,10
nan,adam gray,78.78,3.25,6.69,L78 A3 B6,['2.5YR 8/2'],8.0,YR,8,1
nan,"Adamês green, Mid.",81.10,-11.18,21.42,L81 A-11 B21,['5GY 8/4'],2.5,GY,8,5
nan,"Adamês green, Pale",85.77,-5.32,22.74,L85 A-5 B22,['10Y 9/2'],8.5,Y,9,5
nan,light adam green,79.12,-10.86,22.26,L79 A-10 B22,['5GY 8/4'],2.0,GY,8,5
nan,deep adam green,49.56,-12.24,20.61,L49 A-12 B20,['5GY 5/4'],3.5,GY,5,5
nan,"Adamês green, Deep",54.57,-16.61,19.75,L54 A-16 B19,['7.5GY 5/4'],6.0,GY,5,5
nan,adam ivory,92.08,1.94,23.14,L92 A1 B23,['10YR 9/4'],3.5,Y,9,5
nan,adam pink,71.00,7.00,6.00,L71 A7 B6,['10R 7/2'],1.5,YR,7,2
nan,adam yellow,89.45,0.58,48.38,L89 A0 B48,['2.5Y 9/6'],5.0,Y,9,10
nan,Adamia,25.65,33.30,-27.09,L25 A33 B-27,['5P 3/8'],9.0,P,3,9
nan,Adelaide,27.59,28.70,-26.24,L27 A28 B-26,['5P 3/8'],8.0,P,3,8
nan,ADEN,66.61,-29.47,6.98,L66 A-29 B6,['7.5G 7/6'],6.5,G,7,6
nan,Aden,46.15,-41.08,5.39,L46 A-41 B5,['7.5G 4/6'],8.0,G,5,8
nan,ADMIRAL,30.28,6.44,3.94,L30 A6 B3,['5R 3/2'],8.5,R,3,2
nan,Admiral,34.03,-2.66,-16.58,L34 A-2 B-16,['10B 3/4'],2.5,PB,3,3
nan,Admiral,29.11,10.15,-36.71,L29 A10 B-36,['5PB 3/8'],9.5,PB,3,8
nan,Admiral,21.90,4.81,-13.62,L21 A4 B-13,['7.5PB 2/2'],10.0,P,2,3
nan,Admiral blue,68.71,-12.39,-17.36,L68 A-12 B-17,['7.5B 7/6'],5.0,B,7,4
nan,Admiral blue,33.56,-0.56,-22.20,L33 A0 B-22,['2.5PB 3/4'],4.5,PB,3,4
nan,Dark Admiralty Grey,43.50,-2.75,-2.84,L43 A-2 B-2,['7.5B 4/2'],3.0,B,4,1
nan,Dark Admiralty Grey,42.69,-3.06,-4.22,L42 A-3 B-4,['7.5B 4/2'],5.0,B,4,1
nan,Dark Admiralty Grey,44.15,-3.50,-3.50,L44 A-3 B-3,['5B 4/2'],2.5,B,4,1
nan,Light Admiralty Grey,74.96,-9.69,-1.32,L74 A-9 B-1,['5BG 7/2'],2.0,BG,7,2
nan,adobe,57.47,44.97,29.79,L57 A44 B29,['5R 6/12'],9.5,R,6,11
nan,Adobe,49.25,24.01,34.05,L49 A24 B34,['2.5YR 5/8'],5.0,YR,5,8
nan,Adobe,48.15,10.64,23.27,L48 A10 B23,['7.5YR 5/4'],8.0,YR,5,5
